Year,Stars,Position,Name,Class,Previous School,New School,,,
2020,2,PF,Aaron Jaynes,JR,Merrimack,Wentworth Institute of Technology,,,
2021,3.7,PG,Koby McEwen,RS SR,Marquette,Weber State,,,
2021,2,PF,Dyson Koehler,FR,Cal Poly,Weber State,,,
2021,2,SG,Jamison Overton,SR,Utah Valley,Weber State,,,
2020,3,PF,Dontay Bassett,RS SR,Florida,Weber State,,,
2020,3,PG,Isiah Brown,RS SR,GCU,Weber State,,,
2020,2,PF,Cody Carlson,SR,Concordia St. Paul,Weber State,,,
2020,2,PF,Jake Furgerson,RS SO,Notre Dame de Namur,Weber State,,,
2020,2,SG,Darweshi Hunter,SO,Central State,Weber State,,,
2020,2,PG,Seikou Sisoho Jawara,SO,Loyola Marymount,Weber State,,,
2020,2,PF,David Nzekwesi,JR,Denver,Weber State,,,
2020,2,SG,Tavian Percy,JR,New Mexico,Weber State,,,
2019,2,SG,Khameron Davis,SR,Pittsburgh,Weber State,,,
2017,3,PF,Obi Romeo,N/A,Longwood,Webber International University,,,
2020,2,SF,Dovydas Pinskus,SO,Seattle,Weatherford College,,,
2018,2,SG,Reece Spencer,RS JR,Houston Baptist,Weatherford College,,,
2021,2,PF,Treavon Martin,JR,UIC,Wayne State (MI),,,
2020,2,PF,Jackie Harris,SO,Oakland,Wayne State (MI),,,
2020,2,SG,"Kenny Pittman, Jr.",JR,Oakland,Wayne State (MI),,,
2019,2,PF,James Gordon IV,RS SR,Toledo,Wayne State (MI),,,
2019,2,PG,Brailen Neely,RS SR,Oakland,Wayne State (MI),,,
2019,2,PF,Naji Ozeir,RS JR,Michigan,Wayne State (MI),,,
2018,2,SG,Xavier Cochran,RS N/A,Albany,Wayne State (MI),,,
2018,2,PG,Jacob Joubert,RS SR,Detroit Mercy,Wayne State (MI),,,
2017,2,PG,"Latin Davis, Jr.",N/A,Youngstown State,Wayne State (MI),,,
2017,2,SG,Marquel Ingram,N/A,Bethune–Cookman,Wayne State (MI),,,
2021,2,PF,Matt DeWolf,SR,Brown,Washington State,,,
2021,2,PG,Michael Flowers,SR,South Alabama,Washington State,,,
2021,2,PG,Tyrell Roberts,RS JR,UC San Diego,Washington State,,,
2019,2,PF,Deion James,RS N/A,Colorado State,Washington State,,,
